45;16053
186;78774
6;52510
51;79643
142;10572
15;27512
163;48040
185;40969
134;6440
125;71303
113;73482
106;24369
111;14445
50;37764
33;13479
38;40470
118;19277
41;58273
170;88499
130;5577
88;11225
199;74004
109;49062
140;7341
61;6351
11;28497
47;41723
63;31009
147;68153
127;81552
77;72200
154;76353
67;70745
159;69116
177;84543
48;82353
200;11488
68;36049
27;40652
78;69637
44;21031
64;93592
67;22256
164;17169
48;96120
187;31726
18;32082
87;78799
21;56223
128;31807
110;9702
129;85760
150;19242
126;60956
62;88729
134;45350
71;71661
9;83602
58;22105
96;96256
147;41618
51;57841
86;86112
5;87972
56;49590
198;85481
56;61351
81;81037
94;40648
138;91641
67;93193
59;35804
148;61296
110;42095
200;83311
148;21963
23;65350
55;49914
7;89815
190;73876
160;54886
115;39820
144;43567
200;18352
36;74432
53;40102
173;10571
83;19454
93;47875
43;96634
85;74818
185;19973
100;97099
99;35657
27;29142
71;10502
102;36523
26;95467
123;26155
79;45653
201;50626
17;35278
149;59062
173;15121
16;5885
31;19390
125;55072
191;87996
197;38381
179;60284
201;46015
37;68594
59;32500
69;21328
189;10491
190;70528
34;50461
164;83183
166;12093
120;64987
44;64348
133;47423
1;79562
119;64584
41;47921
190;20565
171;20795
31;40570
197;68628
40;38080
134;68220
35;19541
123;61585
96;8316
167;83004
82;95028
34;77084
23;26556
18;29587
179;40047
78;64181
28;80299
67;23264
102;42006
36;63443
192;7088
177;42558
119;33372
83;82552
74;65445
